task,paradigm,IC_mean,IC_sd,MC_mean,MC_sd,RC_mean,RC_sd,VC_mean,VC_sd,TWC_mean,TWC_sd,LCRI,RCAF,ICR
T1,python,118.0,4.2,11.0,1.8,19.0,2.1,14.0,1.5,162.0,5.8,27.2,1.00,1.00
T1,n8n,58.0,3.8,9.0,1.2,5.0,0.8,16.0,1.9,88.0,4.7,34.1,0.26,2.03
T1,ai,28.0,2.1,11.0,1.5,18.0,2.0,14.0,1.6,71.0,4.1,60.6,0.95,4.21
T2,python,183.0,5.6,16.0,1.9,22.0,2.4,14.0,1.4,235.0,6.9,22.1,1.00,1.00
T2,n8n,57.0,4.0,11.0,1.4,12.0,1.6,16.0,1.8,96.0,5.2,40.6,0.55,3.21
T2,ai,36.0,2.8,14.0,1.7,22.0,2.3,16.0,1.5,88.0,5.2,61.9,1.00,5.08
T3,python,127.0,5.2,22.0,2.5,28.0,3.0,19.0,2.2,196.0,7.1,35.2,1.00,1.00
T3,n8n,97.0,4.8,11.0,1.3,22.0,2.5,11.0,1.2,141.0,5.9,31.2,0.79,1.31
T3,ai,42.0,3.1,28.0,3.2,28.0,2.9,14.0,1.7,112.0,5.8,62.5,1.00,3.02
T4,python,294.0,8.9,21.0,2.3,23.0,2.6,28.0,3.1,366.0,10.7,19.7,1.00,1.00
T4,n8n,147.0,6.2,28.0,3.0,102.0,6.8,31.0,3.5,308.0,9.4,52.3,4.43,2.00
T4,ai,32.0,2.5,42.0,4.1,88.0,6.2,29.0,3.2,191.0,8.1,83.2,3.83,9.19
